common_misspelling,correct_spelling
FiveTran,Fivetran
Github,GitHub
Gitlab,GitLab
Hubspot,HubSpot
Wordpress,WordPress
Zenhub,ZenHub
Superphone,SuperPhone
superphone,SuperPhone
lambdaworks,LambdaWorks
Lambdaworks,LambdaWorks
